ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
VLO,Energy,train,3,A,2021-12-31,2022-12-31,176383000000.0,159632000000.0,1000000000.0,562000000.0,11528000000.0,3428000000.0,2473000000.0,1681000000.0,0.0,9459000000.0,23852000000.0,1562000000.0,9154000000.0,4122000000.0,4862000000.0,1,9968000000.0,10761000000.0,1,6265000000.0,6752000000.0,1,32131000000.0,32092000000.0,1,12495000000.0,12728000000.0,1,1264000000.0,1109000000.0,1,12606000000.0,10526000000.0,1,57888000000.0,60982000000.0,1,38071000000.0,35514000000.0,1,21165000000.0,24133000000.0,1,16851000000.0,17461000000.0,1,19817000000.0,25468000000.0,1,19817000000.0,25468000000.0,1,19817000000.0,25468000000.0
VLO,Energy,train,3,A,2022-12-31,2023-12-31,144766000000.0,131877000000.0,1031000000.0,592000000.0,8835000000.0,2619000000.0,2701000000.0,911000000.0,0.0,7260000000.0,10728000000.0,1452000000.0,10272000000.0,4862000000.0,5424000000.0,1,10761000000.0,11038000000.0,1,6752000000.0,7583000000.0,1,32092000000.0,31345000000.0,1,12728000000.0,12567000000.0,1,1109000000.0,1406000000.0,1,10526000000.0,10118000000.0,1,60982000000.0,63056000000.0,1,35514000000.0,34532000000.0,1,24133000000.0,26221000000.0,1,17461000000.0,16802000000.0,1,25468000000.0,28524000000.0,1,25468000000.0,28524000000.0,1,25468000000.0,28524000000.0
VLO,Energy,train,3,A,2023-12-31,2024-12-31,129881000000.0,125121000000.0,1005000000.0,556000000.0,2770000000.0,692000000.0,2774000000.0,907000000.0,0.0,21411000000.0,31140000000.0,1384000000.0,5750000000.0,5424000000.0,4657000000.0,1,11038000000.0,9731000000.0,1,7583000000.0,7761000000.0,1,31345000000.0,30412000000.0,1,12567000000.0,12092000000.0,1,1406000000.0,743000000.0,1,10118000000.0,9720000000.0,1,63056000000.0,60143000000.0,1,34532000000.0,32622000000.0,1,26221000000.0,23737000000.0,1,16802000000.0,15495000000.0,1,28524000000.0,27521000000.0,1,28524000000.0,27521000000.0,1,28524000000.0,27521000000.0
