ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
MPC,Energy,train,3,A,2021-12-31,2022-12-31,177453000000.0,154886000000.0,3597000000.0,1198000000.0,14516000000.0,4491000000.0,3215000000.0,2420000000.0,0.0,10137000000.0,9120000000.0,1279000000.0,23844000000.0,5291000000.0,8625000000.0,1,11034000000.0,13477000000.0,1,8055000000.0,8827000000.0,1,38812000000.0,36871000000.0,1,13700000000.0,15312000000.0,1,571000000.0,1066000000.0,1,24968000000.0,25634000000.0,1,85373000000.0,89904000000.0,1,51792000000.0,54817000000.0,1,30496000000.0,35242000000.0,1,17898000000.0,20020000000.0,1,33581000000.0,35087000000.0,1,33581000000.0,35087000000.0,1,33581000000.0,35087000000.0
MPC,Energy,train,3,A,2022-12-31,2023-12-31,148379000000.0,131873000000.0,3920000000.0,1265000000.0,9681000000.0,2817000000.0,3307000000.0,1890000000.0,0.0,4767000000.0,4316000000.0,1261000000.0,23144000000.0,8625000000.0,5443000000.0,1,13477000000.0,12187000000.0,1,8827000000.0,9317000000.0,1,36871000000.0,36345000000.0,1,15312000000.0,13761000000.0,1,1066000000.0,1954000000.0,1,25634000000.0,25329000000.0,1,89904000000.0,85987000000.0,1,54817000000.0,54588000000.0,1,35242000000.0,32131000000.0,1,20020000000.0,20150000000.0,1,35087000000.0,31399000000.0,1,35087000000.0,31399000000.0,1,35087000000.0,31399000000.0
MPC,Energy,train,3,A,2023-12-31,2024-12-31,138864000000.0,129577000000.0,4039000000.0,1308000000.0,3445000000.0,890000000.0,3337000000.0,2533000000.0,0.0,4893000000.0,7936000000.0,1154000000.0,18378000000.0,5443000000.0,3210000000.0,1,12187000000.0,11145000000.0,1,9317000000.0,9568000000.0,1,36345000000.0,36328000000.0,1,13761000000.0,13906000000.0,1,1954000000.0,3049000000.0,1,25329000000.0,24432000000.0,1,85987000000.0,78858000000.0,1,54588000000.0,54352000000.0,1,32131000000.0,24447000000.0,1,20150000000.0,20827000000.0,1,31399000000.0,24506000000.0,1,31399000000.0,24506000000.0,1,31399000000.0,24506000000.0
