ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
URI,Industrials,train,6,A,2021-12-31,2022-12-31,11642000000.0,6646000000.0,1764000000.0,445000000.0,2105000000.0,697000000.0,364000000.0,3690000000.0,0.0,29655000000.0,32964000000.0,0.0,2136000000.0,144000000.0,106000000.0,1,1677000000.0,2004000000.0,1,164000000.0,232000000.0,1,11956000000.0,14935000000.0,1,816000000.0,1139000000.0,1,906000000.0,161000000.0,1,8779000000.0,11209000000.0,1,20292000000.0,24183000000.0,1,14301000000.0,17121000000.0,1,2151000000.0,2723000000.0,1,2603000000.0,2445000000.0,1,5991000000.0,7062000000.0,1,5991000000.0,7062000000.0,1,5991000000.0,7062000000.0
URI,Industrials,train,6,A,2022-12-31,2023-12-31,14332000000.0,8519000000.0,1958000000.0,635000000.0,2424000000.0,787000000.0,431000000.0,4070000000.0,0.0,25728000000.0,34296000000.0,406000000.0,2140000000.0,106000000.0,363000000.0,1,2004000000.0,2230000000.0,1,232000000.0,205000000.0,1,14935000000.0,16003000000.0,1,1139000000.0,905000000.0,1,161000000.0,1465000000.0,1,11209000000.0,10053000000.0,1,24183000000.0,25589000000.0,1,17121000000.0,17459000000.0,1,2723000000.0,2933000000.0,1,2445000000.0,3637000000.0,1,7062000000.0,8130000000.0,1,7062000000.0,8130000000.0,1,7062000000.0,8130000000.0
URI,Industrials,train,6,A,2023-12-31,2024-12-31,15345000000.0,9195000000.0,2082000000.0,691000000.0,2575000000.0,813000000.0,437000000.0,4127000000.0,0.0,34827000000.0,39444000000.0,434000000.0,3142000000.0,363000000.0,457000000.0,1,2230000000.0,2357000000.0,1,205000000.0,200000000.0,1,16003000000.0,17302000000.0,1,905000000.0,748000000.0,1,1465000000.0,1178000000.0,1,10053000000.0,12228000000.0,1,25589000000.0,28163000000.0,1,17459000000.0,19541000000.0,1,2933000000.0,3249000000.0,1,3637000000.0,3323000000.0,1,8130000000.0,8622000000.0,1,8130000000.0,8622000000.0,1,8130000000.0,8622000000.0
