ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
GD,Industrials,train,6,A,2021-12-31,2022-12-31,39407000000.0,32785000000.0,2411000000.0,391000000.0,3390000000.0,646000000.0,586000000.0,1114000000.0,0.0,0.0,4000000000.0,1369000000.0,2458000000.0,1603000000.0,1242000000.0,1,3041000000.0,3008000000.0,1,5340000000.0,6322000000.0,1,5417000000.0,5900000000.0,1,3167000000.0,3398000000.0,1,1005000000.0,1253000000.0,1,10490000000.0,9243000000.0,1,50073000000.0,51585000000.0,1,32432000000.0,33017000000.0,1,19987000000.0,21063000000.0,1,13978000000.0,15341000000.0,1,17641000000.0,18568000000.0,1,17641000000.0,18568000000.0,1,17641000000.0,18568000000.0
GD,Industrials,train,6,A,2022-12-31,2023-12-31,42272000000.0,35600000000.0,2427000000.0,399000000.0,3315000000.0,669000000.0,608000000.0,904000000.0,0.0,0.0,5000000000.0,1428000000.0,868000000.0,1242000000.0,1913000000.0,1,3008000000.0,3004000000.0,1,6322000000.0,8578000000.0,1,5900000000.0,6198000000.0,1,3398000000.0,3095000000.0,1,1253000000.0,507000000.0,1,9243000000.0,8754000000.0,1,51585000000.0,54810000000.0,1,33017000000.0,33511000000.0,1,21063000000.0,23615000000.0,1,15341000000.0,16432000000.0,1,18568000000.0,21299000000.0,1,18568000000.0,21299000000.0,1,18568000000.0,21299000000.0
GD,Industrials,train,6,A,2023-12-31,2024-12-31,47716000000.0,40352000000.0,2568000000.0,393000000.0,3782000000.0,758000000.0,644000000.0,916000000.0,0.0,,2000000000.0,1529000000.0,3002000000.0,1913000000.0,1697000000.0,1,3004000000.0,2977000000.0,1,8578000000.0,9724000000.0,1,6198000000.0,6467000000.0,1,3095000000.0,3344000000.0,1,507000000.0,1502000000.0,1,8754000000.0,7260000000.0,1,54810000000.0,55880000000.0,1,33511000000.0,33817000000.0,1,23615000000.0,24386000000.0,1,16432000000.0,17824000000.0,1,21299000000.0,22063000000.0,1,21299000000.0,22063000000.0,1,21299000000.0,22063000000.0
