ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
NFLX,Communication Services,train,0,A,2021-12-31,2022-12-31,31615550000.0,19168285000.0,6814434000.0,706212000.0,4491924000.0,772005000.0,336682000.0,407729000.0,178730000.0,0.0,2800000000.0,,0.0,6027804000.0,5147176000.0,1,804320000.0,988898000.0,1,,,0,1323453000.0,1398257000.0,1,837483000.0,671513000.0,1,699823000.0,,0,14693072000.0,14353076000.0,1,44584663000.0,48594768000.0,1,28735415000.0,27817367000.0,1,8069825000.0,9266473000.0,1,8488966000.0,7930974000.0,1,15849248000.0,20777401000.0,1,15849248000.0,20777401000.0,1,15849248000.0,20777401000.0
NFLX,Communication Services,train,0,A,2022-12-31,2023-12-31,33723297000.0,19715368000.0,7053926000.0,748598000.0,5407990000.0,797415000.0,356947000.0,348552000.0,0.0,0.0,0.0,,12090694000.0,5147176000.0,7116913000.0,1,988898000.0,1287054000.0,1,,,0,1398257000.0,1491444000.0,1,671513000.0,747412000.0,1,,399844000.0,1,14353076000.0,14143417000.0,1,48594768000.0,48731992000.0,1,27817367000.0,28143679000.0,1,9266473000.0,9918133000.0,1,7930974000.0,8860655000.0,1,20777401000.0,20588313000.0,1,20777401000.0,20588313000.0,1,20777401000.0,20588313000.0
NFLX,Communication Services,train,0,A,2023-12-31,2024-12-31,39000966000.0,21038464000.0,7544888000.0,718733000.0,8711631000.0,1254026000.0,328914000.0,439538000.0,0.0,5383380000.0,1600000000.0,,12527492000.0,7116913000.0,7804733000.0,1,1287054000.0,1335304000.0,1,,,0,1491444000.0,1593756000.0,1,747412000.0,899909000.0,1,399844000.0,1784453000.0,1,14143417000.0,13798351000.0,1,48731992000.0,53630374000.0,1,28143679000.0,28886807000.0,1,9918133000.0,13100379000.0,1,8860655000.0,10755400000.0,1,20588313000.0,24743567000.0,1,20588313000.0,24743567000.0,1,20588313000.0,24743567000.0
