ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
ACGL,Financials,train,4,A,2021-12-31,2022-12-31,9613000000.0,,1236000000.0,131000000.0,1476000000.0,80000000.0,106000000.0,50000000.0,0.0,0.0,0.0,40000000.0,1172000000.0,858668000.0,855000000.0,1,10342706000.0,11920000000.0,1,,,0,,,0,3415380000.0,3264000000.0,1,0.0,,0,2724394000.0,2725000000.0,1,45100945000.0,47990000000.0,1,31545816000.0,35069000000.0,1,,,0,,,0,13555129000.0,12921000000.0,1,13555129000.0,12921000000.0,1,13555129000.0,12921000000.0
ACGL,Financials,train,4,A,2022-12-31,2023-12-31,13297000000.0,,1404000000.0,133000000.0,4443000000.0,-873000000.0,95000000.0,52000000.0,0.0,,,40000000.0,4000000.0,855000000.0,917000000.0,1,11920000000.0,13522000000.0,1,,,0,,,0,3264000000.0,3817000000.0,1,,,0,2725000000.0,2726000000.0,1,47990000000.0,58906000000.0,1,35069000000.0,40551000000.0,1,,,0,,,0,12921000000.0,18355000000.0,1,12921000000.0,18355000000.0,1,12921000000.0,18355000000.0
ACGL,Financials,train,4,A,2023-12-31,2024-12-31,16930000000.0,,1667000000.0,141000000.0,4312000000.0,362000000.0,235000000.0,51000000.0,11000000.0,,,1906000000.0,48000000.0,917000000.0,979000000.0,1,13522000000.0,16055000000.0,1,,,0,,,0,3817000000.0,4302000000.0,1,,,0,2726000000.0,2728000000.0,1,58906000000.0,70906000000.0,1,40551000000.0,50086000000.0,1,,,0,,,0,18355000000.0,20820000000.0,1,18355000000.0,20820000000.0,1,18355000000.0,20820000000.0
