ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
AEE,Utilities,train,10,A,2021-12-31,2022-12-31,7957000000.0,4614000000.0,1828000000.0,486000000.0,1074000000.0,176000000.0,1289000000.0,3380000000.0,1665000000.0,4401000000.0,2020000000.0,610000000.0,0.0,8000000.0,10000000.0,1,434000000.0,600000000.0,1,592000000.0,667000000.0,1,29261000000.0,31262000000.0,1,1095000000.0,1159000000.0,1,1050000000.0,1410000000.0,1,12562000000.0,13685000000.0,1,35735000000.0,37904000000.0,1,25906000000.0,27267000000.0,1,1968000000.0,2668000000.0,1,2826000000.0,3366000000.0,1,9829000000.0,10637000000.0,1,9829000000.0,10637000000.0,1,9829000000.0,10637000000.0
AEE,Utilities,train,10,A,2022-12-31,2023-12-31,7500000000.0,4033000000.0,1909000000.0,566000000.0,1152000000.0,183000000.0,1387000000.0,3771000000.0,1730000000.0,6885000000.0,400000000.0,662000000.0,0.0,10000000.0,25000000.0,1,600000000.0,494000000.0,1,667000000.0,733000000.0,1,31262000000.0,33776000000.0,1,1159000000.0,1136000000.0,1,1410000000.0,1385000000.0,1,13685000000.0,15121000000.0,1,37904000000.0,40830000000.0,1,27267000000.0,29352000000.0,1,2668000000.0,2181000000.0,1,3366000000.0,3345000000.0,1,10637000000.0,11478000000.0,1,10637000000.0,11478000000.0,1,10637000000.0,11478000000.0
AEE,Utilities,train,10,A,2023-12-31,2024-12-31,7623000000.0,3970000000.0,2137000000.0,663000000.0,1182000000.0,83000000.0,1590000000.0,4410000000.0,1365000000.0,7605000000.0,3572000000.0,714000000.0,,25000000.0,7000000.0,1,494000000.0,525000000.0,1,733000000.0,762000000.0,1,33776000000.0,36304000000.0,1,1136000000.0,1059000000.0,1,1385000000.0,1460000000.0,1,15121000000.0,17262000000.0,1,40830000000.0,44598000000.0,1,29352000000.0,32355000000.0,1,2181000000.0,2264000000.0,1,3345000000.0,3413000000.0,1,11478000000.0,12243000000.0,1,11478000000.0,12243000000.0,1,11478000000.0,12243000000.0
