ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
TPL,Energy,train,3,A,2021-12-31,2022-12-31,667422000.0,32839000.0,72276000.0,,446362000.0,122493000.0,15376000.0,20874000.0,0.0,,,247281000.0,175530000.0,428242000.0,510834000.0,1,95217000.0,103983000.0,1,109071000.0,109704000.0,1,125938000.0,133028000.0,1,17907000.0,23443000.0,1,,,0,1445000.0,1955000.0,1,764064000.0,877427000.0,1,112353000.0,104540000.0,1,526513000.0,633401000.0,1,67540000.0,56815000.0,1,651711000.0,772887000.0,1,651711000.0,772887000.0,1,651711000.0,772887000.0
TPL,Energy,train,3,A,2022-12-31,2023-12-31,631595000.0,48323000.0,97219000.0,,405645000.0,111916000.0,14757000.0,39997000.0,0.0,,,99972000.0,85146000.0,510834000.0,725169000.0,1,103983000.0,128971000.0,1,109704000.0,,0,133028000.0,138057000.0,1,23443000.0,22501000.0,1,,,0,1955000.0,1170000.0,1,877427000.0,1156398000.0,1,104540000.0,113202000.0,1,633401000.0,862464000.0,1,56815000.0,63063000.0,1,772887000.0,1043196000.0,1,772887000.0,1043196000.0,1,772887000.0,1043196000.0
TPL,Energy,train,3,A,2023-12-31,2024-12-31,705823000.0,71286000.0,95399000.0,,453960000.0,124861000.0,25162000.0,425273000.0,0.0,,,347309000.0,58318000.0,725169000.0,369835000.0,1,128971000.0,126670000.0,1,,,0,138057000.0,556142000.0,1,22501000.0,26958000.0,1,,,0,1170000.0,453000.0,1,1156398000.0,1248020000.0,1,113202000.0,115555000.0,1,862464000.0,503369000.0,1,63063000.0,60400000.0,1,1043196000.0,1132465000.0,1,1043196000.0,1132465000.0,1,1043196000.0,1132465000.0
