ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
EQR,Real Estate,train,9,A,2021-12-31,2022-12-31,2735180000.0,982581000.0,940878000.0,282920000.0,776911000.0,900000.0,882168000.0,232241000.0,698115000.0,12216328000.0,21832738000.0,934101000.0,0.0,123832000.0,53869000.0,1,,,0,,,0,474713000.0,462956000.0,1,107013000.0,96028000.0,1,315030000.0,129955000.0,1,8026423000.0,7295767000.0,1,21169241000.0,20218262000.0,1,9483056000.0,8517310000.0,1,360236000.0,137172000.0,1,725055000.0,536914000.0,1,11686185000.0,11700952000.0,1,11686185000.0,11700952000.0,1,11686185000.0,11700952000.0
EQR,Real Estate,train,9,A,2022-12-31,2023-12-31,2873964000.0,1046493000.0,949425000.0,269556000.0,835438000.0,1148000.0,888709000.0,333540000.0,0.0,13966824000.0,21289132000.0,993238000.0,98210000.0,53869000.0,50743000.0,1,,,0,,,0,462956000.0,457266000.0,1,96028000.0,87377000.0,1,129955000.0,409131000.0,1,7295767000.0,6981319000.0,1,20218262000.0,20034564000.0,1,8517310000.0,8456188000.0,1,137172000.0,139995000.0,1,536914000.0,821455000.0,1,11700952000.0,11578376000.0,1,11700952000.0,11578376000.0,1,11700952000.0,11578376000.0
EQR,Real Estate,train,9,A,2023-12-31,2024-12-31,2980108000.0,1094565000.0,1013844000.0,285735000.0,1035831000.0,1256000.0,952191000.0,318689000.0,0.0,68810468000.0,100157185000.0,1021436000.0,120086000.0,50743000.0,62302000.0,1,,,0,,,0,457266000.0,455445000.0,1,87377000.0,99347000.0,1,409131000.0,543679000.0,1,6981319000.0,7578066000.0,1,20034564000.0,20834176000.0,1,8456188000.0,9249829000.0,1,139995000.0,160166000.0,1,821455000.0,980696000.0,1,11578376000.0,11584347000.0,1,11578376000.0,11584347000.0,1,11578376000.0,11584347000.0
