ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
O,Real Estate,train,9,A,2021-12-31,2022-12-31,3343681000.0,226330000.0,1808848000.0,445448000.0,869408000.0,45183000.0,1670389000.0,,22780140000.0,63542584000.0,83552787000.0,1813431000.0,0.0,258579000.0,171102000.0,1,426768000.0,543237000.0,1,,29535000.0,1,849847000.0,1071017000.0,1,213541000.0,257283000.0,1,1551376000.0,2729040000.0,1,13891261000.0,15381693000.0,1,43137502000.0,49673092000.0,1,18008102000.0,20829803000.0,1,1159356000.0,1773138000.0,1,2220928000.0,3498808000.0,1,25129400000.0,28843289000.0,1,25129400000.0,28843289000.0,1,25129400000.0,28843289000.0
O,Real Estate,train,9,A,2022-12-31,2023-12-31,4078993000.0,316964000.0,2039713000.0,779045000.0,872309000.0,52021000.0,1895177000.0,,27197310000.0,170483464000.0,238282639000.0,2111793000.0,0.0,171102000.0,232923000.0,1,543237000.0,710536000.0,1,29535000.0,31466000.0,1,1071017000.0,1301549000.0,1,257283000.0,399986000.0,1,2729040000.0,764390000.0,1,15381693000.0,20755747000.0,1,49673092000.0,57779357000.0,1,20829803000.0,24672388000.0,1,1773138000.0,2897717000.0,1,3498808000.0,1890713000.0,1,28843289000.0,33106969000.0,1,28843289000.0,33106969000.0,1,28843289000.0,33106969000.0
O,Real Estate,train,9,A,2023-12-31,2024-12-31,5271142000.0,377675000.0,2572539000.0,998104000.0,860772000.0,66601000.0,2395644000.0,,8714050000.0,81747781000.0,116947810000.0,2699482000.0,345020000.0,232923000.0,444962000.0,1,710536000.0,877668000.0,1,31466000.0,,0,1301549000.0,1272703000.0,1,399986000.0,442198000.0,1,764390000.0,1130201000.0,1,20755747000.0,25096793000.0,1,57779357000.0,68835039000.0,1,24672388000.0,29783353000.0,1,2897717000.0,4019349000.0,1,1890713000.0,2398472000.0,1,33106969000.0,39051686000.0,1,33106969000.0,39051686000.0,1,33106969000.0,39051686000.0
