ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
XYL,Industrials,train,6,A,2021-12-31,2022-12-31,5522000000.0,3438000000.0,1433000000.0,50000000.0,355000000.0,85000000.0,111000000.0,208000000.0,0.0,0.0,2108000000.0,217000000.0,104000000.0,1349000000.0,944000000.0,1,953000000.0,1096000000.0,1,700000000.0,799000000.0,1,644000000.0,630000000.0,1,639000000.0,723000000.0,1,69000000.0,69000000.0,1,2440000000.0,1880000000.0,1,8276000000.0,7952000000.0,1,5050000000.0,4449000000.0,1,3160000000.0,3012000000.0,1,1391000000.0,1590000000.0,1,3226000000.0,3503000000.0,1,3226000000.0,3503000000.0,1,3226000000.0,3503000000.0
XYL,Industrials,train,6,A,2022-12-31,2023-12-31,7364000000.0,4647000000.0,1989000000.0,49000000.0,609000000.0,26000000.0,193000000.0,271000000.0,0.0,834000000.0,640000000.0,299000000.0,50000000.0,944000000.0,1019000000.0,1,1096000000.0,1617000000.0,1,799000000.0,1018000000.0,1,630000000.0,1169000000.0,1,723000000.0,968000000.0,1,69000000.0,16000000.0,1,1880000000.0,2268000000.0,1,7952000000.0,16112000000.0,1,4449000000.0,5936000000.0,1,3012000000.0,3884000000.0,1,1590000000.0,2205000000.0,1,3503000000.0,10176000000.0,1,3503000000.0,10176000000.0,1,3503000000.0,10176000000.0
XYL,Industrials,train,6,A,2023-12-31,2024-12-31,8562000000.0,5350000000.0,2141000000.0,44000000.0,890000000.0,197000000.0,258000000.0,321000000.0,0.0,3000000.0,872000000.0,350000000.0,40000000.0,1019000000.0,1121000000.0,1,1617000000.0,1668000000.0,1,1018000000.0,996000000.0,1,1169000000.0,1152000000.0,1,968000000.0,1006000000.0,1,16000000.0,38000000.0,1,2268000000.0,1978000000.0,1,16112000000.0,16493000000.0,1,5936000000.0,5611000000.0,1,3884000000.0,4098000000.0,1,2205000000.0,2336000000.0,1,10176000000.0,10882000000.0,1,10176000000.0,10882000000.0,1,10176000000.0,10882000000.0
