ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
IFF,Materials,train,8,A,2021-12-31,2022-12-31,12440000000.0,8289000000.0,3098000000.0,336000000.0,-1868000000.0,239000000.0,727000000.0,506000000.0,,754000000.0,2463000000.0,810000000.0,,711000000.0,483000000.0,1,1906000000.0,1818000000.0,1,2516000000.0,3299000000.0,1,5156000000.0,4968000000.0,1,1532000000.0,1418000000.0,1,632000000.0,597000000.0,1,10768000000.0,10373000000.0,1,39658000000.0,35522000000.0,1,18436000000.0,17778000000.0,1,6987000000.0,7432000000.0,1,3633000000.0,3728000000.0,1,21222000000.0,17744000000.0,1,21222000000.0,17744000000.0,1,21222000000.0,17744000000.0
IFF,Materials,train,8,A,2022-12-31,2023-12-31,11479000000.0,7798000000.0,3103000000.0,380000000.0,-2565000000.0,45000000.0,680000000.0,503000000.0,,0.0,3478000000.0,826000000.0,,483000000.0,703000000.0,1,1818000000.0,1726000000.0,1,3299000000.0,2638000000.0,1,4968000000.0,4955000000.0,1,1418000000.0,1378000000.0,1,597000000.0,885000000.0,1,10373000000.0,9186000000.0,1,35522000000.0,30978000000.0,1,17778000000.0,16336000000.0,1,7432000000.0,6293000000.0,1,3728000000.0,3758000000.0,1,17744000000.0,14642000000.0,1,17744000000.0,14642000000.0,1,17744000000.0,14642000000.0
IFF,Materials,train,8,A,2023-12-31,2024-12-31,11484000000.0,7360000000.0,3276000000.0,305000000.0,243000000.0,31000000.0,610000000.0,468000000.0,,0.0,4120000000.0,514000000.0,,703000000.0,469000000.0,1,1726000000.0,1624000000.0,1,2638000000.0,2256000000.0,1,4955000000.0,4339000000.0,1,1378000000.0,1283000000.0,1,885000000.0,1413000000.0,1,9186000000.0,7564000000.0,1,30978000000.0,28667000000.0,1,16336000000.0,14756000000.0,1,6293000000.0,7993000000.0,1,3758000000.0,4333000000.0,1,14642000000.0,13911000000.0,1,14642000000.0,13911000000.0,1,14642000000.0,13911000000.0
