ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
COIN,Financials,train,4,A,2021-12-31,2022-12-31,3194208000.0,629880000.0,4511622000.0,88901000.0,-2624949000.0,-439633000.0,154069000.0,63971000.0,,381912000.0,573219000.0,,,7123478000.0,4425021000.0,1,25592000.0,203010000.0,1,,,0,157615000.0,241210000.0,1,39833000.0,56043000.0,1,20060000.0,20519000.0,1,3384795000.0,3393448000.0,1,21274425000.0,89724873000.0,1,14892736000.0,84270316000.0,1,18373863000.0,86448215000.0,1,11419035000.0,80815293000.0,1,6381689000.0,5454557000.0,1,6381689000.0,5454557000.0,1,6381689000.0,5454557000.0
COIN,Financials,train,4,A,2022-12-31,2023-12-31,3108383000.0,1135550000.0,2026576000.0,82766000.0,94871000.0,-171716000.0,139642000.0,63202000.0,,63280000.0,1370498000.0,,,4425021000.0,5139351000.0,1,203010000.0,81488000.0,1,,,0,241210000.0,205287000.0,1,56043000.0,39294000.0,1,20519000.0,10902000.0,1,3393448000.0,2979957000.0,1,89724873000.0,14753901000.0,1,84270316000.0,8472252000.0,1,86448215000.0,11356794000.0,1,80815293000.0,5485079000.0,1,5454557000.0,6281649000.0,1,5454557000.0,6281649000.0,1,5454557000.0,6281649000.0
COIN,Financials,train,4,A,2023-12-31,2024-12-31,6564028000.0,1657547000.0,2671046000.0,80645000.0,2579066000.0,363578000.0,127518000.0,,,3738075000.0,0.0,,,5139351000.0,8543903000.0,1,81488000.0,125300000.0,1,,,0,205287000.0,281231000.0,1,39294000.0,63316000.0,1,10902000.0,,0,2979957000.0,4234081000.0,1,14753901000.0,22541951000.0,1,8472252000.0,12265109000.0,1,11356794000.0,18112653000.0,1,5485079000.0,7941320000.0,1,6281649000.0,10276842000.0,1,6281649000.0,10276842000.0,1,6281649000.0,10276842000.0
