ticker,sector,label,sector_id,freq,date_prev,date_next,S,COGS,OPEX,I,NI,Tax,DA,CapEx,EquityIssues,NewDebt,Repay,Div,Buyback,C_prev,C_next,mask_C,AR_prev,AR_next,mask_AR,Inv_prev,Inv_next,mask_Inv,K_prev,K_next,mask_K,AP_prev,AP_next,mask_AP,STD_prev,STD_next,mask_STD,LTD_prev,LTD_next,mask_LTD,TA_prev,TA_next,mask_TA,TL_prev,TL_next,mask_TL,TCA_prev,TCA_next,mask_TCA,TCL_prev,TCL_next,mask_TCL,E_gross_report_prev,E_gross_report_next,mask_E_gross_report,E_implied_prev,E_implied_next,mask_E_implied,E_prev,E_next
GS,Financials,train,4,A,2021-12-31,2022-12-31,47365000000.0,,16772000000.0,21346000000.0,11261000000.0,2225000000.0,2455000000.0,3748000000.0,0.0,258966000000.0,184852000000.0,3682000000.0,7000000000.0,261036000000.0,241825000000.0,1,160673000000.0,135448000000.0,1,,,0,20386000000.0,19246000000.0,1,251931000000.0,262045000000.0,1,56125000000.0,67800000000.0,1,263466000000.0,254245000000.0,1,1463988000000.0,1441799000000.0,1,1354062000000.0,1324610000000.0,1,,,0,,,0,109926000000.0,117189000000.0,1,109926000000.0,117189000000.0,1,109926000000.0,117189000000.0
GS,Financials,train,4,A,2022-12-31,2023-12-31,46254000000.0,,16757000000.0,62164000000.0,8516000000.0,2223000000.0,2386000000.0,2316000000.0,0.0,150600000000.0,230544000000.0,4189000000.0,13592000000.0,241825000000.0,241577000000.0,1,135448000000.0,132495000000.0,1,,,0,19246000000.0,13415000000.0,1,262045000000.0,230728000000.0,1,67800000000.0,83149000000.0,1,254245000000.0,247867000000.0,1,1441799000000.0,1641594000000.0,1,1324610000000.0,1524689000000.0,1,,,0,,,0,117189000000.0,116905000000.0,1,117189000000.0,116905000000.0,1,117189000000.0,116905000000.0
GS,Financials,train,4,A,2023-12-31,2024-12-31,53512000000.0,,17998000000.0,73341000000.0,14276000000.0,4121000000.0,2392000000.0,2091000000.0,478000000.0,217485000000.0,306220000000.0,4497000000.0,20400000000.0,241577000000.0,182092000000.0,1,132495000000.0,133717000000.0,1,,,0,13415000000.0,9991000000.0,1,230728000000.0,223255000000.0,1,83149000000.0,90624000000.0,1,247867000000.0,249869000000.0,1,1641594000000.0,1675972000000.0,1,1524689000000.0,1553976000000.0,1,,,0,,,0,116905000000.0,121996000000.0,1,116905000000.0,121996000000.0,1,116905000000.0,121996000000.0
