ticker,sector,date,idx,step,period_days,logS_pred,logS_true,mask_logS,S_true,mask_S,theta_m_gross,theta_m_opex,theta_DSO,theta_DIO,theta_DPO,theta_alpha_OCA,theta_alpha_ONCA,theta_alpha_OCL,theta_alpha_ONCL,theta_kappa,theta_delta,theta_payout,theta_neteq_to_sales,theta_phi,theta_r_ST,theta_r_LT,theta_tau,theta_true_m_gross,theta_true_m_opex,theta_true_DSO,theta_true_DIO,theta_true_DPO,theta_true_alpha_OCA,theta_true_alpha_ONCA,theta_true_alpha_OCL,theta_true_alpha_ONCL,theta_true_kappa,theta_true_delta,theta_true_payout,theta_true_neteq_to_sales,theta_true_phi,theta_true_r_ST,theta_true_r_LT,theta_true_tau,mask_theta_m_gross,mask_theta_m_opex,mask_theta_DSO,mask_theta_DIO,mask_theta_DPO,mask_theta_alpha_OCA,mask_theta_alpha_ONCA,mask_theta_alpha_OCL,mask_theta_alpha_ONCL,mask_theta_kappa,mask_theta_delta,mask_theta_payout,mask_theta_neteq_to_sales,mask_theta_phi,mask_theta_r_ST,mask_theta_r_LT,mask_theta_tau,COGS_true,mask_COGS,OPEX_true,mask_OPEX,Tax_true,mask_Tax,NI_true,mask_NI,Div_true,mask_Div,Int_true,mask_Int,TA_true,mask_TA,TL_true,mask_TL,NetEq_true,mask_NetEq,state_true_C,state_true_AR,state_true_Inv,state_true_OCA,state_true_K,state_true_ONCA,state_true_AP,state_true_OCL,state_true_STD,state_true_LTD,state_true_ONCL,state_true_E_flow,mask_state_C,mask_state_AR,mask_state_Inv,mask_state_OCA,mask_state_K,mask_state_ONCA,mask_state_AP,mask_state_OCL,mask_state_STD,mask_state_LTD,mask_state_ONCL,mask_state_E_flow,period_days_panel,period_days_date,pred_dt,pred_logS_in,pred_logS_safe,pred_S,pred_m_gross,pred_m_opex,pred_DSO,pred_DIO,pred_DPO,pred_alpha_OCA,pred_alpha_ONCA,pred_alpha_OCL,pred_alpha_ONCL,pred_kappa,pred_delta,pred_payout,pred_neteq_to_sales,pred_phi,pred_r_ST,pred_r_LT,pred_tau,pred_neteq_mode,pred_COGS,pred_OPEX,pred_Int,pred_Tax,pred_NI,pred_Div,pred_NetEq,pred_CFO,pred_CFI,pred_CFF,pred_TA,pred_TL,pred_E,pred_bs_resid,pred_cash_resid,pred_Borrow,pred_Repay_st,pred_Repay_lt,pred_C_min,pred_nonfinite_state,pred_clipped_state,state_pred_C,state_pred_AR,state_pred_Inv,state_pred_OCA,state_pred_K,state_pred_ONCA,state_pred_AP,state_pred_OCL,state_pred_STD,state_pred_LTD,state_pred_ONCL,state_pred_E_flow
GOOG,Communication Services,2021-12-31,0,-3,365.0,,0.0,0,0.0,0,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1170000000.0,0.0,0.0,0.0,0.0,0.0,2188999936.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,Communication Services,2022-12-31,1,-2,365.0,,26.3681330613112,1,282836000000.0,1,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.553794425037831,0.289181716613161,51.95296921184008,7.722082676323067,14.83102620381449,0.353519353971913,0.2595850598933658,0.2181299410258948,0.0953308631150207,0.1113189268692811,0.0,0.0,-0.4192959877809048,0.0773557821493727,0.1630881681132937,0.1630881681132937,0.1592081650964558,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,126203000000.0,1,81791000000.0,1,11356000000.0,1,59972000000.0,1,0.0,1,357000000.0,1,365264000000.0,1,109120000000.0,1,-118592000000.0,1,21878999040.0,40257998848.0,2670000128.0,99987996672.0,127048998912.0,73419997184.0,5128000000.0,61695000576.0,2476999936.0,12856999936.0,26962999296.0,256143998976.0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,Communication Services,2023-12-31,2,-1,365.0,,26.4513961493178,1,307394000000.0,1,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.566250479840205,0.2920323753879386,56.9525104588899,0.0,20.51229262292623,0.0,0.268144466059845,0.232698100808734,0.0823991359623154,0.1049174674847264,0.0940267141024329,0.0,-0.40016395895821,0.0782318457744783,0.0200860832137733,0.0200860832137733,0.1390855956228052,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,133332000000.0,1,89769000000.0,1,11922000000.0,1,73795000000.0,1,0.0,1,308000000.0,1,402392000000.0,1,119013000000.0,1,-123008000000.0,1,24048001024.0,47964000256.0,0.0,0.0,148435992576.0,82426003456.0,7493000192.0,71529996288.0,2791000064.0,11870000128.0,25329000448.0,283379007488.0,1,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,Communication Services,2024-06-30,3,0,91.25,,0.0,0,0.0,0,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2855000064.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,Communication Services,2024-09-30,4,1,92.0,26.4513961493178,0.0,0,0.0,0,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2971000064.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,91.25,92.0,92.0,26.4513961493178,26.4513961493178,307393999999.9999,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.0,127861285177.7816,131051243336.16388,79202025.27415143,11849330239.368622,36552939221.411606,9630998867.408062,-38816761829.28927,-14219320524.224747,-317283184748.075,423614648738.2983,622147600711.9381,636897422251.2238,-14749821539.285725,8.0108642578125e-05,0.0,357358891480.7239,0.0,0.0,92112143465.99852,0.0,0.0,92112143465.99854,158764142548.77563,24601830145.122425,29386299803.966484,9889184748.075123,307393999999.9999,62763726681.33458,99216286070.89362,360213891544.7239,0.0,114703517954.27171,-14749821539.285725
GOOG,Communication Services,2024-12-31,5,2,92.0,26.4513961493178,26.58125041867889,1,350018000000.0,1,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.5820043540617912,0.2609065819472141,54.580335868441054,0.0,19.925737837135863,0.0,0.2911878817660806,0.2235542172116862,0.0719020164677245,0.1500922809684073,0.0,0.0735432190015781,-0.3555360010056625,0.0670422663977281,0.0902053180747223,0.0902053180747223,0.1643951091265701,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,146306000000.0,1,91322000000.0,1,19697000000.0,1,100118000000.0,1,7363000000.0,1,268000000.0,1,450256000000.0,1,125172000000.0,1,-124444000000.0,1,23466000384.0,52339998720.0,0.0,0.0,184624005120.0,101920997376.0,7986999808.0,78248001536.0,2887000064.0,10883000320.0,25166999552.0,325083987968.0,1,1,0,0,1,1,1,1,1,1,1,1,365.0,92.0,92.0,26.4513961493178,26.4513961493178,307393999999.9999,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.0,127861285177.7816,131051243336.16388,9992878845.0723,9143142122.125412,28204861501.149826,7431440397.380032,-38816761829.28927,29345450518.856663,-9889184748.075123,-19456265770.781544,630896196442.3064,663689358707.1116,-32793162264.8052,2.288818359375e-05,-1.52587890625e-05,26791936455.88774,0.0,0.0,92112143465.99852,0.0,0.0,92112143465.99852,158764142548.77563,24601830145.122425,29386299803.966484,18637780478.44341,307393999999.9999,62763726681.33458,99216286070.89362,387005828000.61163,0.0,114703517954.27171,-32793162264.8052
GOOG,Communication Services,2025-03-31,6,3,90.0,11.643993978644236,25.225672133123943,1,90234000000.0,1,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.5970365937451515,0.2578518075226633,51.57424030853115,0.0,21.32370534363741,0.0,1.0,0.5,0.3055056852184321,0.1905822638916594,0.0243034491723719,0.0704690214244354,-0.3339761065673692,0.2578185606312476,0.0024691358024691,0.0024691358024691,0.173466701763622,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,36361000000.0,1,23267000000.0,1,7249000000.0,1,34540000000.0,1,2434000000.0,1,34000000.0,1,475374000000.0,1,130107000000.0,1,-30136000000.0,1,23264000000.0,51000000512.0,0.0,0.0,198783991808.0,114537996288.0,8496999936.0,82157002752.0,1000000000.0,10885999616.0,27566999552.0,345267011584.0,1,1,0,0,1,1,1,1,1,1,1,1,91.25,90.0,90.0,11.643993978644236,11.643993978644236,114004.5887368574,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.0,47420.4871664998,48603.56122758803,10736127735.003912,0.0,-12885735660.914675,0.0,-14396.146211196932,40036130167.07548,307393882327.7649,-439542121798.7959,16488386821.896936,62167299143.76303,-45678912321.86608,-1.52587890625e-05,0.0,0.0,324838631988.9851,0.0,34162.042959561906,0.0,0.0,34162.04296875,60190.04750052353,9326.95066570087,10898.628547236425,16488158239.638517,114004.5887368574,23794.741240760966,36796.78812699866,62167196011.626526,0.0,42540.60713952612,-45678912321.86608
GOOG,Communication Services,2025-06-30,7,4,91.0,164.17997652511616,25.292062452820144,1,96428000000.0,1,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.5951487119923673,0.270854938399635,52.09202721201311,0.0,19.51032941417557,0.0,1.0,0.0,0.292653586095325,0.2327747127390384,0.0251428686413393,0.0901900978862249,-0.2828638984527316,0.218152403866097,0.0219586067642604,0.0219586067642604,0.169068458432794,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,39039000000.0,1,26118000000.0,1,5737000000.0,1,28196000000.0,1,2543000000.0,1,261000000.0,1,502053000000.0,1,139137000000.0,1,-27276000000.0,1,21035999232.0,55047999488.0,0.0,0.0,217486000128.0,118351003648.0,8346999808.0,0.0,0.0,23606999040.0,28220000256.0,362915987456.0,1,1,0,0,1,1,1,0,0,1,1,1,91.25,91.0,91.0,164.17997652511616,40.0,2.3538526683702e+17,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.0,9.790907672139483e+16,1.0035176965720277e+17,1724612160.89695,9088405975346980.0,2.8036010856768356e+16,7386951488979296.0,-2.9723722131649644e+16,-1.1857406965511304e+16,-2.429578557316998e+17,3.253496305399908e+17,4.779491054414829e+17,4.870238138842558e+17,-9074708442772904.0,-24.0,64.0,2.74626715408731e+17,0.0,0.0,7.05343678428139e+16,0.0,0.0,7.053436784281389e+16,1.2290873449435909e+17,1.9045735144213716e+16,2.250239764181904e+16,7572603481257160.0,2.3538526683702e+17,4.858912154035479e+16,7.597432601604266e+16,2.74626777575927e+17,0.0,8.783358875193131e+16,-9074708442772904.0
GOOG,Communication Services,2025-09-30,8,5,92.0,25.449628744437305,25.3516250667072,1,102346000000.0,1,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.5957927031833193,0.2906708615871651,50.95221112696149,0.0,23.26192317919215,0.0,1.0,0.0,0.2779297676509096,0.234039434858226,0.0257993617980007,0.0725006432430887,-0.2248060500654642,0.2256072538252594,0.0060575253102893,0.0060575253102893,0.2047877782071975,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,41369000000.0,1,29749000000.0,1,9008000000.0,1,34979000000.0,1,2536000000.0,1,143000000.0,1,536469000000.0,1,149602000000.0,1,-23008000000.0,1,23089999872.0,57147998208.0,0.0,0.0,238310998016.0,124211003392.0,10545999872.0,0.0,0.0,21607000064.0,28444999680.0,386867003392.0,1,1,0,0,1,1,1,0,0,1,1,1,91.25,92.0,92.0,25.449628744437305,25.449628744437305,112884244361.73575,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.0,46954477186.9792,48125924958.42087,7618562693849150.0,0.0,-8491946346871380.0,0.0,-14254672595.00442,3.2274856188899452e+16,2.3538515032117206e+17,-3.3819434052655917e+17,6699430495546296.0,2.4266099539863216e+16,-1.756666904431688e+16,-40.0,-32.0,0.0,2.5036077964250794e+17,0.0,33826326186.259464,0.0,0.0,33826326176.0,58302928044.65098,9034525741.712322,10791525690.020563,6699205655996282.0,112884244361.73575,23048712270.730625,36435179221.099434,2.426599793341907e+16,0.0,42122552651.97355,-1.756666904431688e+16
GOOG,Communication Services,2025-12-31,9,6,92.0,25.436085015406317,26.72179536817651,1,402836000000.0,1,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.5965231508603998,0.2761967649365995,56.97949041297203,0.0,27.39717599286308,0.0,0.3163197926699699,0.0,0.0762692510103367,0.2270080131865076,0.0886908283713299,0.0760308693349474,-0.2269360235927275,0.0762295326137683,0.0340630351275049,0.0340630351275049,0.1678314633624217,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,162535000000.0,1,111262000000.0,1,26656000000.0,1,132170000000.0,1,10049000000.0,1,736000000.0,1,595281000000.0,1,180016000000.0,1,-91418000000.0,1,30708000768.0,62885998592.0,0.0,0.0,261818007552.0,127425003520.0,12199999488.0,0.0,0.0,46547001344.0,30723999744.0,415264997376.0,1,1,0,0,1,1,1,0,0,1,1,1,365.0,92.0,92.0,25.436085015406317,25.436085015406317,111365677486.18912,0.5840475572789916,0.4263298676492187,47.51654591334692,17.701748971193414,45.16036927561066,0.09559815677588533,1.0,0.32276585122316526,0.3731482005317988,0.03217104025477116,0.11533701177226433,0.26348083280171664,-0.12627690140109854,0.29965498176932065,0.027741514360313316,0.027741514360313316,0.2448093936787404,0.0,46322825585.66037,47478514543.352585,673175530137278.4,0.0,-1445824327410384.0,0.0,-14062912675.390043,-673157714978266.0,-2064182817.8614216,673159324114963.6,5926764692048264.0,2.4939272126688244e+16,-1.901250743463994e+16,-40.0,1.125,673173953678137.1,0.0,0.0,33371280056.852043,0.0,0.0,33371280056.875,57518612254.82055,8912989458.192776,10646353495.777391,5926542877135512.0,111365677486.18912,22738651188.457916,35945037690.87432,2.493917188709721e+16,0.0,41555902154.97613,-1.901250743463994e+16
